stock_code,report_year,report_quarter,bas_eps
600887,2012,1004,1.07
600887,2012,1003,0.85
600887,2012,1001,0.26
600887,2012,1002,0.48
600887,2013,1002,0.95
600887,2013,1003,1.33
600887,2013,1004,1.65
600887,2013,1001,0.27
600887,2014,1003,1.16
600887,2014,1004,1.35
600887,2014,1002,0.75
600887,2014,1001,0.53
600887,2015,1004,0.76
600887,2015,1001,0.43
600887,2015,1003,0.59
600887,2015,1002,0.43
600887,2016,1004,0.93
600887,2016,1003,0.72
600887,2016,1001,0.26
600887,2016,1002,0.53
600887,2017,1001,0.29
600887,2017,1002,0.55
600887,2017,1003,0.81
600887,2017,1004,0.99
600887,2018,1001,0.35
600887,2018,1002,0.57
600887,2018,1003,0.83
600887,2018,1004,1.06
600887,2019,1001,0.37
600887,2019,1002,0.62
600887,2019,1003,0.93
600887,2019,1004,1.15
600887,2020,1001,0.19
601138,2015,1004,NULL
601138,2016,1004,NULL
601138,2017,1004,0.95
601138,2018,1001,0.15
601138,2018,1002,0.30
601138,2018,1003,0.53
601138,2018,1004,0.90
601138,2019,1001,0.15
601138,2019,1002,0.28
601138,2019,1003,0.52
601138,2019,1004,0.94
601138,2020,1001,0.09
601166,2010,1002,1.65
601166,2010,1003,2.45
601166,2010,1004,3.28
601166,2010,1001,0.82
601166,2011,1002,1.13
601166,2011,1004,2.36
601166,2011,1001,0.87
601166,2011,1003,1.74
601166,2012,1003,2.44
601166,2012,1004,3.22
601166,2012,1002,1.59
601166,2012,1001,0.77
601166,2013,1003,1.74
601166,2013,1001,0.86
601166,2013,1004,2.16
601166,2013,1002,1.70
601166,2014,1004,2.47
601166,2014,1002,1.34
601166,2014,1003,2.01
601166,2014,1001,0.70
601166,2015,1001,0.78
601166,2015,1003,2.16
601166,2015,1004,2.63
601166,2015,1002,1.45
601166,2016,1002,1.49
601166,2016,1004,2.77
601166,2016,1003,2.25
601166,2016,1001,0.82
601166,2017,1001,0.88
601166,2017,1002,1.51
601166,2017,1003,2.26
601166,2017,1004,2.74
601166,2018,1001,0.85
601166,2018,1002,1.55
601166,2018,1003,2.36
601166,2018,1004,2.85
601166,2019,1001,0.95
601166,2019,1002,1.66
601166,2019,1003,2.57
601166,2019,1004,3.10
601166,2020,1001,1.01
601186,2010,1004,0.34
601186,2010,1001,0.11
601186,2010,1003,0.16
601186,2010,1002,0.27
601186,2011,1004,0.64
601186,2011,1003,0.40
601186,2011,1002,0.29
601186,2011,1001,0.14
601186,2012,1001,0.10
601186,2012,1003,0.41
601186,2012,1002,0.26
601186,2012,1004,0.69
601186,2013,1001,0.13
601186,2013,1002,0.38
601186,2013,1003,0.57
601186,2013,1004,0.84
601186,2014,1001,0.16
601186,2014,1002,0.40
601186,2014,1004,0.92
601186,2014,1003,0.61
601186,2015,1004,0.98
601186,2015,1002,0.43
601186,2015,1001,0.18
601186,2015,1003,0.67
601186,2016,1002,0.43
601186,2016,1004,1.03
601186,2016,1003,0.67
601186,2016,1001,0.19
601186,2017,1002,0.48
601186,2017,1001,0.21
601186,2017,1003,0.78
601186,2017,1004,1.16
601186,2018,1001,0.25
601186,2018,1002,0.56
601186,2018,1003,0.90
601186,2018,1004,1.26
601186,2019,1001,0.28
601186,2019,1002,0.65
601186,2019,1003,1.04
601186,2019,1004,1.40
601186,2020,1001,0.18
601211,2010,1004,NULL
601211,2010,1002,NULL
601211,2011,1004,0.58
601211,2011,1002,NULL
601211,2012,1004,0.43
601211,2012,1002,NULL
601211,2013,1004,0.47
601211,2013,1002,NULL
601211,2014,1004,1.11
601211,2014,1002,NULL
601211,2015,1002,1.54
601211,2015,1001,0.46
601211,2015,1004,2.21
601211,2015,1003,1.75
601211,2016,1001,0.29
601211,2016,1004,1.21
601211,2016,1003,0.94
601211,2016,1002,0.62
601211,2017,1001,0.32
601211,2017,1002,0.56
601211,2017,1003,0.80
601211,2017,1004,1.11
601211,2018,1001,0.26
601211,2018,1002,0.43
601211,2018,1003,0.58
601211,2018,1004,0.70
601211,2019,1001,0.33
601211,2019,1002,0.54
601211,2019,1003,0.69
601211,2019,1004,0.90
601211,2020,1001,0.19
601236,2010,1004,0.35
601236,2010,1002,0.26
601236,2011,1002,0.10
